GENE NAME,Enzyme or Protein,GENE NAME/GENE/ENZYME PROTEIN,KO classification,Metabolism/other,Top Pathway
SLIV_23930,carbohydrate kinase,D      SLIV_23930 carbohydrate kinase,K00852 rbsK; ribokinase [EC:2.7.1.15],Metabolism,B  09101 Carbohydrate metabolism
SLIV_02095,celB; Phosphoglucomutase,D      SLIV_02095 celB; Phosphoglucomutase,K01835 pgm; phosphoglucomutase [EC:5.4.2.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_22065,prs; Ribose-phosphate pyrophosphokinase,D      SLIV_22065 prs; Ribose-phosphate pyrophosphokinase,K00948 PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_34020,Putative ribose-phosphate pyrophosphokinase,D      SLIV_34020 Putative ribose-phosphate pyrophosphokinase,K00948 PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_26230,KHG/KDPG aldolase,D      SLIV_26230 KHG/KDPG aldolase,K01625 eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42],Metabolism,B  09101 Carbohydrate metabolism
SLIV_33670,aldolase,D      SLIV_33670 aldolase,K01625 eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42],Metabolism,B  09101 Carbohydrate metabolism
SLIV_35325,gluconolactonase,D      SLIV_35325 gluconolactonase,K01053 gnl; gluconolactonase [EC:3.1.1.17],Metabolism,B  09101 Carbohydrate metabolism
SLIV_29345,gluconokinase,D      SLIV_29345 gluconokinase,K00851 idnK; gluconokinase [EC:2.7.1.12],Metabolism,B  09101 Carbohydrate metabolism
SLIV_13450,carbohydrate kinase,D      SLIV_13450 carbohydrate kinase,K00874 kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45],Metabolism,B  09101 Carbohydrate metabolism
SLIV_33675,PfkB-family carbohydrate kinase,D      SLIV_33675 PfkB-family carbohydrate kinase,K00874 kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45],Metabolism,B  09101 Carbohydrate metabolism
SLIV_09345,tagatose-bisphosphate aldolase,D      SLIV_09345 tagatose-bisphosphate aldolase,"K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_20045,fba; Fructose-bisphosphate aldolase,D      SLIV_20045 fba; Fructose-bisphosphate aldolase,"K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_13150,"glpX; Fructose-1,6-bisphosphatase class 2","D      SLIV_13150 glpX; Fructose-1,6-bisphosphatase class 2","K02446 glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_11375,pfkA2; 6-phosphofructokinase 2,D      SLIV_11375 pfkA2; 6-phosphofructokinase 2,K21071 pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],Metabolism,B  09101 Carbohydrate metabolism
SLIV_27110,pfkA1; 6-phosphofructokinase 1,D      SLIV_27110 pfkA1; 6-phosphofructokinase 1,K21071 pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],Metabolism,B  09101 Carbohydrate metabolism
SLIV_31725,pfkA3; 6-phosphofructokinase 3,D      SLIV_31725 pfkA3; 6-phosphofructokinase 3,K21071 pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],Metabolism,B  09101 Carbohydrate metabolism
00040 Pentos,e and glucuronate interconversions [PATH:slv0,C    00040 Pentose and glucuronate interconversions [PATH:slv00040],,Metabolism,B  09101 Carbohydrate metabolism
SLIV_28320,pectinesterase,D      SLIV_28320 pectinesterase,K01051 E3.1.1.11; pectinesterase [EC:3.1.1.11],Metabolism,B  09101 Carbohydrate metabolism
SLIV_32250,secreted lyase,D      SLIV_32250 secreted lyase,K22539 PLY; pectate lyase [EC:4.2.2.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_23560,pectate lyase,D      SLIV_23560 pectate lyase,K01728 pel; pectate lyase [EC:4.2.2.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_28315,secreted pectate lyase,D      SLIV_28315 secreted pectate lyase,K01728 pel; pectate lyase [EC:4.2.2.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_01170,hypothetical protein,D      SLIV_01170 hypothetical protein,K08323 rspA; mannonate dehydratase [EC:4.2.1.8],Metabolism,B  09101 Carbohydrate metabolism
SLIV_22435,rkpK; UDP-glucose 6-dehydrogenase,D      SLIV_22435 rkpK; UDP-glucose 6-dehydrogenase,K00012 UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22],Metabolism,B  09101 Carbohydrate metabolism
SLIV_21780,putative UTP-glucose-1-phosphate uridylyltra,D      SLIV_21780 putative UTP-glucose-1-phosphate uridylyltransferase,K00963 UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9],Metabolism,B  09101 Carbohydrate metabolism
SLIV_30445,rpe; Ribulose-phosphate 3-epimerase,D      SLIV_30445 rpe; Ribulose-phosphate 3-epimerase,K01783 rpe; ribulose-phosphate 3-epimerase [EC:5.1.3.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_25375,sugar kinase,D      SLIV_25375 sugar kinase,K00854 xylB; xylulokinase [EC:2.7.1.17],Metabolism,B  09101 Carbohydrate metabolism
SLIV_31950,xylB; Xylulose kinase,D      SLIV_31950 xylB; Xylulose kinase,K00854 xylB; xylulokinase [EC:2.7.1.17],Metabolism,B  09101 Carbohydrate metabolism
SLIV_31955,xylA; Xylose isomerase,D      SLIV_31955 xylA; Xylose isomerase,K01805 xylA; xylose isomerase [EC:5.3.1.5],Metabolism,B  09101 Carbohydrate metabolism
SLIV_07400,xyoA; putative xylitol oxidase,D      SLIV_07400 xyoA; putative xylitol oxidase,K00594 xyoA; alditol oxidase [EC:1.1.3.41],Metabolism,B  09101 Carbohydrate metabolism
SLIV_33870,putative sugar isomerase,D      SLIV_33870 putative sugar isomerase,K01820 rhaA; L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-],Metabolism,B  09101 Carbohydrate metabolism
SLIV_33860,rhamnose kinase,D      SLIV_33860 rhamnose kinase,K00848 rhaB; rhamnulokinase [EC:2.7.1.5],Metabolism,B  09101 Carbohydrate metabolism
SLIV_36240,dihydroxy-acid dehydratase,D      SLIV_36240 dihydroxy-acid dehydratase,K22186 xylD; xylonate dehydratase [EC:4.2.1.82],Metabolism,B  09101 Carbohydrate metabolism
SLIV_28495,aldolase,D      SLIV_28495 aldolase,K01628 fucA; L-fuculose-phosphate aldolase [EC:4.1.2.17],Metabolism,B  09101 Carbohydrate metabolism
00051 Fructo,se and mannose metabolism [PATH:slv00051],C    00051 Fructose and mannose metabolism [PATH:slv00051],,Metabolism,B  09101 Carbohydrate metabolism
SLIV_06970,"celA; Mannan endo-1,4-beta-mannosidase","D      SLIV_06970 celA; Mannan endo-1,4-beta-mannosidase","K01218 gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_35170,secreted beta-mannosidase,D      SLIV_35170 secreted beta-mannosidase,"K01218 gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_27935,fructokinase,D      SLIV_27935 fructokinase,K00847 E2.7.1.4; fructokinase [EC:2.7.1.4],Metabolism,B  09101 Carbohydrate metabolism
SLIV_22570,manA; Mannose-6-phosphate isomerase,D      SLIV_22570 manA; Mannose-6-phosphate isomerase,K01809 manA; mannose-6-phosphate isomerase [EC:5.3.1.8],Metabolism,B  09101 Carbohydrate metabolism
SLIV_13795,putative phosphomannomutase,D      SLIV_13795 putative phosphomannomutase,K01840 manB; phosphomannomutase [EC:5.4.2.8],Metabolism,B  09101 Carbohydrate metabolism
SLIV_22555,phosphomannomutase/phosphoglucomutase,D      SLIV_22555 phosphomannomutase/phosphoglucomutase,K01840 manB; phosphomannomutase [EC:5.4.2.8],Metabolism,B  09101 Carbohydrate metabolism
SLIV_30835,mannose-1-phosphate guanyltransferase,D      SLIV_30835 mannose-1-phosphate guanyltransferase,K16881 K16881; mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8],Metabolism,B  09101 Carbohydrate metabolism
SLIV_22500,nucleotide phosphorylase,D      SLIV_22500 nucleotide phosphorylase,K00966 GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13],Metabolism,B  09101 Carbohydrate metabolism
SLIV_28495,aldolase,D      SLIV_28495 aldolase,K01628 fucA; L-fuculose-phosphate aldolase [EC:4.1.2.17],Metabolism,B  09101 Carbohydrate metabolism
SLIV_03465,oxidoreductase,D      SLIV_03465 oxidoreductase,K00064 E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],Metabolism,B  09101 Carbohydrate metabolism
SLIV_36190,oxidoreductase,D      SLIV_36190 oxidoreductase,K00064 E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],Metabolism,B  09101 Carbohydrate metabolism
SLIV_03475,hypothetical protein,D      SLIV_03475 hypothetical protein,"K07046 E3.1.1.120; L-fucono-1,5-lactonase [EC:3.1.1.120]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_36185,hypothetical protein,D      SLIV_36185 hypothetical protein,"K07046 E3.1.1.120; L-fucono-1,5-lactonase [EC:3.1.1.120]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_36205,Ureidoglycolate lyase,D      SLIV_36205 Ureidoglycolate lyase,"K18336 lra6; 2,4-didehydro-3-deoxy-L-rhamnonate hydrolase [EC:3.7.1.26]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_33870,putative sugar isomerase,D      SLIV_33870 putative sugar isomerase,K01820 rhaA; L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-],Metabolism,B  09101 Carbohydrate metabolism
SLIV_33860,rhamnose kinase,D      SLIV_33860 rhamnose kinase,K00848 rhaB; rhamnulokinase [EC:2.7.1.5],Metabolism,B  09101 Carbohydrate metabolism
SLIV_11375,pfkA2; 6-phosphofructokinase 2,D      SLIV_11375 pfkA2; 6-phosphofructokinase 2,K21071 pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],Metabolism,B  09101 Carbohydrate metabolism
SLIV_27110,pfkA1; 6-phosphofructokinase 1,D      SLIV_27110 pfkA1; 6-phosphofructokinase 1,K21071 pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],Metabolism,B  09101 Carbohydrate metabolism
SLIV_31725,pfkA3; 6-phosphofructokinase 3,D      SLIV_31725 pfkA3; 6-phosphofructokinase 3,K21071 pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],Metabolism,B  09101 Carbohydrate metabolism
SLIV_13150,"glpX; Fructose-1,6-bisphosphatase class 2","D      SLIV_13150 glpX; Fructose-1,6-bisphosphatase class 2","K02446 glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_21705,1-phosphofructokinase,D      SLIV_21705 1-phosphofructokinase,K00882 fruK; 1-phosphofructokinase [EC:2.7.1.56],Metabolism,B  09101 Carbohydrate metabolism
SLIV_07400,xyoA; putative xylitol oxidase,D      SLIV_07400 xyoA; putative xylitol oxidase,K00594 xyoA; alditol oxidase [EC:1.1.3.41],Metabolism,B  09101 Carbohydrate metabolism
SLIV_31955,xylA; Xylose isomerase,D      SLIV_31955 xylA; Xylose isomerase,K01805 xylA; xylose isomerase [EC:5.3.1.5],Metabolism,B  09101 Carbohydrate metabolism
SLIV_36030,algD; GDP-mannose 6-dehydrogenase,D      SLIV_36030 algD; GDP-mannose 6-dehydrogenase,K00066 algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132],Metabolism,B  09101 Carbohydrate metabolism
SLIV_09345,tagatose-bisphosphate aldolase,D      SLIV_09345 tagatose-bisphosphate aldolase,"K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_20045,fba; Fructose-bisphosphate aldolase,D      SLIV_20045 fba; Fructose-bisphosphate aldolase,"K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_27990,tpiA; Triosephosphate isomerase,D      SLIV_27990 tpiA; Triosephosphate isomerase,K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_35055,triosephosphate isomerase,D      SLIV_35055 triosephosphate isomerase,K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_24530,rpiB; Ribose-5-phosphate isomerase B,D      SLIV_24530 rpiB; Ribose-5-phosphate isomerase B,K01808 rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6],Metabolism,B  09101 Carbohydrate metabolism
SLIV_31675,sugar-phosphate isomerase,D      SLIV_31675 sugar-phosphate isomerase,K01808 rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6],Metabolism,B  09101 Carbohydrate metabolism
SLIV_35050,ribose 5-phosphate isomerase,D      SLIV_35050 ribose 5-phosphate isomerase,K01808 rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6],Metabolism,B  09101 Carbohydrate metabolism
SLIV_21710,fructose-specific permease,D      SLIV_21710 fructose-specific permease,K02770 fruA; fructose PTS system EIIBC or EIIC component [EC:2.7.1.202],Metabolism,B  09101 Carbohydrate metabolism
SLIV_25955,hydrolase,D      SLIV_25955 hydrolase,K19270 hxpA; mannitol-1-/sugar-/sorbitol-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50],Metabolism,B  09101 Carbohydrate metabolism
SLIV_29925,phosphatase,D      SLIV_29925 phosphatase,K19270 hxpA; mannitol-1-/sugar-/sorbitol-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50],Metabolism,B  09101 Carbohydrate metabolism
00052 Galact,ose metabolism [PATH:slv00052],C    00052 Galactose metabolism [PATH:slv00052],,Metabolism,B  09101 Carbohydrate metabolism
SLIV_20035,hypothetical protein,D      SLIV_20035 hypothetical protein,K01785 galM; aldose 1-epimerase [EC:5.1.3.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_25665,aldose 1-epimerase,D      SLIV_25665 aldose 1-epimerase,K01785 galM; aldose 1-epimerase [EC:5.1.3.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_25735,galM; Aldose 1-epimerase,D      SLIV_25735 galM; Aldose 1-epimerase,K01785 galM; aldose 1-epimerase [EC:5.1.3.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_22000,galK; Galactokinase,D      SLIV_22000 galK; Galactokinase,K00849 galK; galactokinase [EC:2.7.1.6],Metabolism,B  09101 Carbohydrate metabolism
SLIV_21990,galT; Galactose-1-phosphate uridylyltransfer,D      SLIV_21990 galT; Galactose-1-phosphate uridylyltransferase,K00965 galT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12],Metabolism,B  09101 Carbohydrate metabolism
SLIV_21165,hypothetical protein,D      SLIV_21165 hypothetical protein,K01784 galE; UDP-glucose 4-epimerase [EC:5.1.3.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_21995,galE; UDP-glucose 4-epimerase,D      SLIV_21995 galE; UDP-glucose 4-epimerase,K01784 galE; UDP-glucose 4-epimerase [EC:5.1.3.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_22760,UDP-glucose 4-epimerase,D      SLIV_22760 UDP-glucose 4-epimerase,K01784 galE; UDP-glucose 4-epimerase [EC:5.1.3.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_21780,putative UTP-glucose-1-phosphate uridylyltra,D      SLIV_21780 putative UTP-glucose-1-phosphate uridylyltransferase,K00963 UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9],Metabolism,B  09101 Carbohydrate metabolism
SLIV_02095,celB; Phosphoglucomutase,D      SLIV_02095 celB; Phosphoglucomutase,K01835 pgm; phosphoglucomutase [EC:5.4.2.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_06845,sugar kinase,D      SLIV_06845 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_07585,sugar kinase,D      SLIV_07585 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_16970,sugar kinase,D      SLIV_16970 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_27075,glkA; Glucokinase,D      SLIV_27075 glkA; Glucokinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_32410,sugar kinase,D      SLIV_32410 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_06140,beta-galactosidase,D      SLIV_06140 beta-galactosidase,K01190 lacZ; beta-galactosidase [EC:3.2.1.23],Metabolism,B  09101 Carbohydrate metabolism
SLIV_34100,secreted beta-galactosidase,D      SLIV_34100 secreted beta-galactosidase,K01190 lacZ; beta-galactosidase [EC:3.2.1.23],Metabolism,B  09101 Carbohydrate metabolism
SLIV_02275,bbgII; Beta-galactosidase BbgII,D      SLIV_02275 bbgII; Beta-galactosidase BbgII,K12308 bgaB; beta-galactosidase [EC:3.2.1.23],Metabolism,B  09101 Carbohydrate metabolism
SLIV_06425,beta-galactosidase,D      SLIV_06425 beta-galactosidase,K12308 bgaB; beta-galactosidase [EC:3.2.1.23],Metabolism,B  09101 Carbohydrate metabolism
SLIV_10180,Beta-galactosidase,D      SLIV_10180 Beta-galactosidase,K12308 bgaB; beta-galactosidase [EC:3.2.1.23],Metabolism,B  09101 Carbohydrate metabolism
SLIV_35235,alpha-galactosidase,D      SLIV_35235 alpha-galactosidase,K07406 melA; alpha-galactosidase [EC:3.2.1.22],Metabolism,B  09101 Carbohydrate metabolism
SLIV_36495,alpha-galactosidase,D      SLIV_36495 alpha-galactosidase,K07407 E3.2.1.22B; alpha-galactosidase [EC:3.2.1.22],Metabolism,B  09101 Carbohydrate metabolism
SLIV_36545,alpha-galactosidase,D      SLIV_36545 alpha-galactosidase,K07407 E3.2.1.22B; alpha-galactosidase [EC:3.2.1.22],Metabolism,B  09101 Carbohydrate metabolism
SLIV_11375,pfkA2; 6-phosphofructokinase 2,D      SLIV_11375 pfkA2; 6-phosphofructokinase 2,K21071 pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],Metabolism,B  09101 Carbohydrate metabolism
SLIV_27110,pfkA1; 6-phosphofructokinase 1,D      SLIV_27110 pfkA1; 6-phosphofructokinase 1,K21071 pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],Metabolism,B  09101 Carbohydrate metabolism
SLIV_31725,pfkA3; 6-phosphofructokinase 3,D      SLIV_31725 pfkA3; 6-phosphofructokinase 3,K21071 pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],Metabolism,B  09101 Carbohydrate metabolism
SLIV_09365,"kbaZ; D-tagatose-1,6-bisphosphate aldolase s","D      SLIV_09365 kbaZ; D-tagatose-1,6-bisphosphate aldolase subunit KbaZ","K16371 gatZ-kbaZ; D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ",Metabolism,B  09101 Carbohydrate metabolism
SLIV_25695,dehydratase,D      SLIV_25695 dehydratase,K01684 dgoD; galactonate dehydratase [EC:4.2.1.6],Metabolism,B  09101 Carbohydrate metabolism
SLIV_04195,alpha glucosidase,D      SLIV_04195 alpha glucosidase,K01187 malZ; alpha-glucosidase [EC:3.2.1.20],Metabolism,B  09101 Carbohydrate metabolism
SLIV_19400,sugar hydrolase,D      SLIV_19400 sugar hydrolase,K01187 malZ; alpha-glucosidase [EC:3.2.1.20],Metabolism,B  09101 Carbohydrate metabolism
SLIV_26580,alpha-glucosidase,D      SLIV_26580 alpha-glucosidase,K01187 malZ; alpha-glucosidase [EC:3.2.1.20],Metabolism,B  09101 Carbohydrate metabolism
SLIV_30790,glycosyl hydrolase,D      SLIV_30790 glycosyl hydrolase,K01187 malZ; alpha-glucosidase [EC:3.2.1.20],Metabolism,B  09101 Carbohydrate metabolism
SLIV_09360,agaS; Putative tagatose-6-phosphate ketose/a,D      SLIV_09360 agaS; Putative tagatose-6-phosphate ketose/aldose isomerase,K02082 agaS; D-galactosamine 6-phosphate deaminase/isomerase [EC:3.5.99.-],Metabolism,B  09101 Carbohydrate metabolism
00053 Ascorb,ate and aldarate metabolism [PATH:slv00053],C    00053 Ascorbate and aldarate metabolism [PATH:slv00053],,Metabolism,B  09101 Carbohydrate metabolism
SLIV_22435,rkpK; UDP-glucose 6-dehydrogenase,D      SLIV_22435 rkpK; UDP-glucose 6-dehydrogenase,K00012 UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22],Metabolism,B  09101 Carbohydrate metabolism
SLIV_35325,gluconolactonase,D      SLIV_35325 gluconolactonase,K01053 gnl; gluconolactonase [EC:3.1.1.17],Metabolism,B  09101 Carbohydrate metabolism
SLIV_03465,oxidoreductase,D      SLIV_03465 oxidoreductase,K00064 E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],Metabolism,B  09101 Carbohydrate metabolism
SLIV_36190,oxidoreductase,D      SLIV_36190 oxidoreductase,K00064 E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],Metabolism,B  09101 Carbohydrate metabolism
SLIV_37240,sugar-transport protein,D      SLIV_37240 sugar-transport protein,K02821 ulaC; ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194],Metabolism,B  09101 Carbohydrate metabolism
SLIV_37245,ascorbate-specific PTS system enzyme IIC,D      SLIV_37245 ascorbate-specific PTS system enzyme IIC,K03475 ulaA; ascorbate PTS system EIIC component,Metabolism,B  09101 Carbohydrate metabolism
SLIV_03580,3-succinoylsemialdehyde-pyridine dehydrogena,D      SLIV_03580 3-succinoylsemialdehyde-pyridine dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_13810,Aldehyde dehydrogenase 5,D      SLIV_13810 Aldehyde dehydrogenase 5,K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_20670,Putative aldehyde dehydrogenase,D      SLIV_20670 Putative aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],Metabolism,B  09101 Carbohydrate metabolism
